pitch,start_time,end_time,time_diff,note_len
75,69.93424025,70.91518125,0.980941,0/0
68,70.91518125,71.24576975,0.3305885,0/0
65,70.91518125,71.24576975,0.3305885,0/0
74,70.91518125,71.24576975,0.3305885,0/0
67,71.91015275,72.24258575,0.332433,0/0
64,71.91015275,72.24258575,0.332433,0/0
73,71.91015275,72.24258575,0.332433,0/0
67,72.91000125,73.41326425,0.503263,0/0
63,72.91000125,73.41326425,0.503263,0/0
73,72.91000125,73.41326425,0.503263,0/0
60,78.6705305833,79.1385450833,0.4680145,0/0
63,79.1385450833,79.2596203333,0.12107525,0/0
68,79.2596203333,79.7744889167,0.514868583333,0/0
56,79.2596203333,79.7744889167,0.514868583333,0/0
60,79.7744889167,80.2301224167,0.4556335,0/0
72,79.7744889167,80.2301224167,0.4556335,0/0
68,80.2301224167,80.3351056667,0.10498325,0/0
56,80.2301224167,80.3351056667,0.10498325,0/0
55,80.3351056667,80.8661034167,0.53099775,0/0
67,80.3351056667,80.8661034167,0.53099775,0/0
70,80.8661034167,81.3259701667,0.45986675,0/0
58,80.8661034167,81.3259701667,0.45986675,0/0
67,81.3259701667,81.4388284167,0.11285825,0/0
55,81.3259701667,81.4388284167,0.11285825,0/0
56,81.4388284167,81.9540274167,0.515199,0/0
68,81.4388284167,81.9540274167,0.515199,0/0
63,81.9540274167,83.0132254167,1.059198,0/0
65,83.0132254167,83.4710961667,0.45787075,0/0
61,83.4710961667,83.5835484167,0.11245225,0/0
60,83.5835484167,84.0973644167,0.513816,0/0
63,84.0973644167,84.5543136667,0.45694925,0/0
60,84.5543136667,84.6592969167,0.10498325,0/0
58,84.6592969167,85.1902946667,0.53099775,0/0
63,85.1902946667,85.6569714167,0.46667675,0/0
61,85.6569714167,85.7748774167,0.117906,0/0
60,85.7748774167,86.3260434167,0.551166,0/0
63,86.3260434167,87.4033074167,1.077264,0/0
72,87.4033074167,87.8641891667,0.46088175,0/0
75,87.8641891667,87.9857254167,0.12153625,0/0
68,87.9857254167,88.5167929167,0.5310675,0/0
80,87.9857254167,88.5167929167,0.5310675,0/0
84,88.5167929167,88.9680014167,0.4512085,0/0
72,88.5167929167,88.9680014167,0.4512085,0/0
68,88.9680014167,89.0729846667,0.10498325,0/0
80,88.9680014167,89.0729846667,0.10498325,0/0
79,89.0729846667,89.6039824167,0.53099775,0/0
67,89.0729846667,89.6039824167,0.53099775,0/0
82,89.6039824167,90.0685036667,0.46452125,0/0
70,89.6039824167,90.0685036667,0.46452125,0/0
67,90.0685036667,90.2042501667,0.1357465,0/0
79,90.0685036667,90.2042501667,0.1357465,0/0
80,90.2042501667,90.7428821667,0.538632,0/0
68,90.2042501667,90.7428821667,0.538632,0/0
75,90.7428821667,92.3054711667,1.562589,0/0
63,90.7428821667,92.3054711667,1.562589,0/0
64,92.3054711667,92.8492781667,0.543807,0/0
76,92.3054711667,92.8492781667,0.543807,0/0
73,92.8492781667,94.3287296667,1.4794515,0/0
61,92.8492781667,94.3287296667,1.4794515,0/0
71,94.3287296667,95.8329086667,1.504179,0/0
70,95.8329086667,96.1787296667,0.345821,0/0
68,96.1787296667,96.3272446667,0.148515,0/0
69,96.3272446667,96.375263,0.0480183333333,0/0
70,96.375263,96.4649497917,0.0896867916667,0/0
71,96.4649497917,96.5538394167,0.088889625,0/0
70,96.5538394167,96.6410496667,0.08721025,0/0
71,96.6410496667,96.72928775,0.0882380833333,0/0
70,96.72928775,96.8171740167,0.0878862666667,0/0
71,96.8171740167,96.9033817333,0.0862077166667,0/0
70,96.9033817333,96.9892474833,0.08586575,0/0
71,96.9892474833,97.0741481917,0.0849007083333,0/0
70,97.0741481917,97.1594097333,0.0852615416667,0/0
71,97.1594097333,97.2436560917,0.0842463583333,0/0
70,97.2436560917,97.3286668583,0.0850107666667,0/0
71,97.3286668583,97.413615775,0.0849489166667,0/0
70,97.413615775,97.498644125,0.08502835,0/0
71,97.498644125,97.5839949083,0.0853507833333,0/0
70,97.5839949083,97.6694273917,0.0854324833333,0/0
71,97.6694273917,97.754816825,0.0853894333333,0/0
70,97.754816825,97.8407440583,0.0859272333333,0/0
71,97.8407440583,97.9259650667,0.0852210083333,0/0
70,97.9259650667,98.01249655,0.0865314833333,0/0
71,98.01249655,98.0984666583,0.0859701083333,0/0
70,98.0984666583,98.1845916167,0.0861249583333,0/0
71,98.1845916167,98.2712968667,0.08670525,0/0
70,98.2712968667,98.3588037417,0.087506875,0/0
71,98.3588037417,98.4467812417,0.0879775,0/0
76,98.4467812417,98.545345475,0.0985642333333,0/0
75,98.545345475,98.6318685083,0.0865230333333,0/0
76,98.6318685083,98.71801595,0.0861474416667,0/0
75,98.71801595,98.8042075917,0.0861916416666,0/0
76,98.8042075917,98.889331475,0.0851238833333,0/0
75,98.889331475,98.9742268583,0.0848953833333,0/0
76,98.9742268583,99.0592453833,0.085018525,0/0
75,99.0592453833,99.1434846667,0.0842392833333,0/0
76,99.1434846667,99.2276131,0.0841284333333,0/0
75,99.2276131,99.3119624417,0.0843493416667,0/0
76,99.3119624417,99.3962409833,0.0842785416666,0/0
75,99.3962409833,99.48071685,0.0844758666667,0/0
76,99.48071685,99.5651383583,0.0844215083333,0/0
75,99.5651383583,99.6500921083,0.08495375,0/0
76,99.6500921083,99.734894625,0.0848025166667,0/0
75,99.734894625,99.819816675,0.08492205,0/0
76,99.819816675,99.9050770917,0.0852604166667,0/0
75,99.9050770917,99.99028125,0.0852041583333,0/0
76,99.99028125,100.075881517,0.0856002666667,0/0
75,100.075881517,100.161875517,0.085994,0/0
76,100.161875517,100.247566058,0.0856905416667,0/0
75,100.247566058,100.334317408,0.08675135,0/0
74,100.334317408,100.421317333,0.086999925,0/0
75,100.421317333,100.508780833,0.0874635,0/0
88,100.508780833,100.607002067,0.0982212333334,0/0
87,100.607002067,100.693124075,0.0861220083333,0/0
88,100.693124075,100.777863583,0.0847395083333,0/0
87,100.777863583,100.861822958,0.083959375,0/0
88,100.861822958,100.944733342,0.0829103833333,0/0
87,100.944733342,101.026795067,0.082061725,0/0
88,101.026795067,101.10809875,0.0813036833333,0/0
87,101.10809875,101.189687633,0.0815888833333,0/0
88,101.189687633,101.27074845,0.0810608166667,0/0
87,101.27074845,101.35172145,0.080973,0/0
88,101.35172145,101.432759375,0.081037925,0/0
87,101.432759375,101.513894442,0.0811350666667,0/0
88,101.513894442,101.595720917,0.081826475,0/0
87,101.595720917,101.676906992,0.081186075,0/0
88,101.676906992,101.758026525,0.0811195333333,0/0
87,101.758026525,101.840101742,0.0820752166667,0/0
88,101.840101742,101.922910267,0.082808525,0/0
87,101.922910267,102.007086942,0.084176675,0/0
88,102.007086942,102.091515358,0.0844284166667,0/0
87,102.091515358,102.176775942,0.0852605833334,0/0
88,102.176775942,102.262788758,0.0860128166667,0/0
87,102.262788758,102.348948083,0.086159325,0/0
86,102.348948083,102.436454958,0.087506875,0/0
87,102.436454958,102.523918458,0.0874635,0/0
88,102.523918458,102.704641458,0.180723,0/0
87,102.704641458,102.885364458,0.180723,0/0
85,102.885364458,103.066087458,0.180723,0/0
83,103.066087458,103.246810458,0.180723,0/0
82,103.246810458,103.427533458,0.180723,0/0
80,103.427533458,103.608256458,0.180723,0/0
79,103.608256458,103.788979458,0.180723,0/0
78,103.788979458,103.969702458,0.180723,0/0
76,103.969702458,104.150425458,0.180723,0/0
75,104.150425458,104.331148458,0.180723,0/0
73,104.331148458,104.511871458,0.180723,0/0
71,104.511871458,104.692549208,0.18067775,0/0
70,104.692549208,104.873273208,0.180724,0/0
68,104.873273208,105.055460708,0.1821875,0/0
67,105.055460708,105.239135333,0.183674625,0/0
66,105.239135333,105.424321667,0.185186333333,0/0
64,105.424321667,105.610657167,0.1863355,0/0
63,105.610657167,105.796992667,0.1863355,0/0
61,105.796992667,105.983328167,0.1863355,0/0
56,111.545077833,111.636524583,0.09144675,0/0
51,111.636524583,111.727971333,0.09144675,0/0
47,111.727971333,111.819418083,0.09144675,0/0
51,111.819418083,111.910864833,0.09144675,0/0
56,111.910864833,112.008109583,0.09724475,0/0
51,112.008109583,112.105354333,0.09724475,0/0
59,112.105354333,112.197097333,0.091743,0/0
51,112.197097333,112.288840333,0.091743,0/0
58,112.288840333,112.380583333,0.091743,0/0
51,112.380583333,112.472326333,0.091743,0/0
56,112.472326333,112.566006083,0.09367975,0/0
51,112.566006083,112.659685833,0.09367975,0/0
56,112.659685833,112.750052833,0.090367,0/0
51,112.750052833,112.840419833,0.090367,0/0
47,112.840419833,112.930786833,0.090367,0/0
51,112.930786833,113.021153833,0.090367,0/0
56,113.021153833,113.117067833,0.095914,0/0
51,113.117067833,113.212981833,0.095914,0/0
59,113.212981833,113.304167333,0.0911855,0/0
51,113.304167333,113.395352833,0.0911855,0/0
58,113.395352833,113.486538333,0.0911855,0/0
51,113.486538333,113.577723833,0.0911855,0/0
56,113.577723833,113.675310083,0.09758625,0/0
51,113.675310083,113.772896333,0.09758625,0/0
64,113.772896333,113.863263333,0.090367,0/0
59,113.863263333,113.953630333,0.090367,0/0
56,113.953630333,114.043997333,0.090367,0/0
59,114.043997333,114.134364333,0.090367,0/0
64,114.134364333,114.231609083,0.09724475,0/0
59,114.231609083,114.328853833,0.09724475,0/0
68,114.328853833,114.420596833,0.091743,0/0
59,114.420596833,114.512339833,0.091743,0/0
66,114.512339833,114.604082833,0.091743,0/0
59,114.604082833,114.695825833,0.091743,0/0
64,114.695825833,114.789505583,0.09367975,0/0
59,114.789505583,114.883185333,0.09367975,0/0
64,114.883185333,114.973552333,0.090367,0/0
59,114.973552333,115.063919333,0.090367,0/0
56,115.063919333,115.154286333,0.090367,0/0
59,115.154286333,115.244653333,0.090367,0/0
64,115.244653333,115.340567333,0.095914,0/0
59,115.340567333,115.436481333,0.095914,0/0
68,115.436481333,115.528224333,0.091743,0/0
59,115.528224333,115.619967333,0.091743,0/0
66,115.619967333,115.711710333,0.091743,0/0
59,115.711710333,115.803453333,0.091743,0/0
64,115.803453333,115.898396083,0.09494275,0/0
59,115.898396083,115.993338833,0.09494275,0/0
73,115.993338833,116.082813667,0.0894748333333,0/0
76,116.082813667,116.1728275,0.0900138333334,0/0
73,116.1728275,116.262610958,0.0897834583333,0/0
76,116.262610958,116.3536815,0.0910705416667,0/0
73,116.3536815,116.443374708,0.0896932083333,0/0
76,116.443374708,116.533158667,0.0897839583333,0/0
73,116.533158667,116.623079,0.0899203333334,0/0
76,116.623079,116.713183083,0.0901040833333,0/0
73,116.713183083,116.80337675,0.0901936666667,0/0
76,116.80337675,116.893162167,0.0897854166667,0/0
73,116.893162167,116.9838625,0.0907003333333,0/0
76,116.9838625,117.07410225,0.09023975,0/0
73,117.07410225,117.164115333,0.0900130833333,0/0
76,117.164115333,117.254353667,0.0902383333333,0/0
73,117.254353667,117.343550292,0.089196625,0/0
76,117.343550292,117.434111792,0.0905615,0/0
73,117.434111792,117.523668542,0.08955675,0/0
76,117.523668542,117.613770625,0.0901020833333,0/0
73,117.613770625,117.705217375,0.09144675,0/0
76,117.705217375,117.796664125,0.09144675,0/0
70,117.796664125,117.888110875,0.09144675,0/0
73,117.888110875,117.979557625,0.09144675,0/0
67,117.979557625,118.073021375,0.09346375,0/0
70,118.073021375,118.166485125,0.09346375,0/0
64,118.166485125,118.256813875,0.09032875,0/0
67,118.256813875,118.347142625,0.09032875,0/0
61,118.347142625,118.437471375,0.09032875,0/0
64,118.437471375,118.527800125,0.09032875,0/0
58,118.527800125,118.618128875,0.09032875,0/0
